what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712140864451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141205833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141207677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141234333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141239024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141311310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141319953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141413609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1712141415186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141418143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141419740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141423597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141424504
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1712141427717
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1712141442134
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1712141442294
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x8000020, /cygdrive/c/Users/adminbistec/Desktop/CO503/Lab_01/Part_02/software/JPEG_Encoder/JPEG_Encoder.elf] return code: 4, 'other error'",1712141449571
error,log,,,"Downloading ELF Process failed",1712141449571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141449587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141453057
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1712141455219
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1712141461559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141463177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141474623
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1712141475129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1712141477834
