what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1716314218962
processors,sysinfo,,,"8",1716314218963
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1716314218963
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1716314218963
java.specification.name,sysinfo,,,"Java Platform API Specification",1716314218963
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1716314218963
java.specification.version,sysinfo,,,"1.6",1716314218963
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1716314218963
java.version,sysinfo,,,"1.6.0_23",1716314218963
java.vm.info,sysinfo,,,"mixed mode",1716314218963
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1716314218963
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1716314218963
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1716314218963
java.vm.specification.version,sysinfo,,,"1.0",1716314218963
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1716314218963
java.vm.version,sysinfo,,,"19.0-b09",1716314218963
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1716314219069
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716314238878
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1716314240491
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1716314240513
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716314245136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314245163
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1716314245211
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1716314245212
