what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1716314586520
processors,sysinfo,,,"8",1716314586520
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1716314586520
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1716314586520
java.specification.name,sysinfo,,,"Java Platform API Specification",1716314586520
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1716314586520
java.specification.version,sysinfo,,,"1.6",1716314586520
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1716314586520
java.version,sysinfo,,,"1.6.0_23",1716314586520
java.vm.info,sysinfo,,,"mixed mode",1716314586520
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1716314586520
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1716314586520
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1716314586520
java.vm.specification.version,sysinfo,,,"1.0",1716314586520
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1716314586520
java.vm.version,sysinfo,,,"19.0-b09",1716314586520
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1716314586729
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1716314588278
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1716314596444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1716314602595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1716314608449
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716314610970
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1716314611061
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1716314616851
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1716314616851
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1716314616852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314616891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314618364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314628743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314630612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314636132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314665168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314669953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314671089
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1716314671650
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1716314671659
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716314673343
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1716314673652
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1716314673659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314674924
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1716314676882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314679854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314679867
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1716314679889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716314685611
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716314685712
